"","1","2","3","4","5","6","7","8","9","10"
"ISP",1,0,0,0,0,0,0,0,0,0
"Japan",1,0,0,0,0,0,0,0,0,0
"jobs",0,0,0,0,1,0,0,0,0,0
"keystonePipeline",1,0,0,0,0,0,0,0,0,0
"korea",1,0,0,0,0,0,0,0,0,0
"kremlinElectionInvolvement",1,0,0,0,0,0,0,0,0,0
"lawfulRestriction",1,0,0,0,0,0,0,0,0,0
"legislation",1,0,0,0,0,0,0,0,0,0
"markFields",0,0,0,0,0,0,0,0,1,0
"media",1,0,0,0,0,0,0,0,0,0
"mexico",0,0,0,0,1,0,0,0,0,0
"middleEasternCountries",1,0,0,0,0,0,0,0,0,0
"mikhailKulagin",1,0,0,0,0,0,0,0,0,0
"militaryAction",1,0,0,0,0,0,0,0,0,0
"Missile",1,0,0,0,0,0,0,0,0,0
"money",1,0,0,0,0,0,0,0,0,0
"moscow",1,0,0,0,0,0,0,0,0,0
"Navarro",1,0,0,0,0,0,0,0,0,0
"northKorea",1,0,0,0,0,0,0,0,0,0
"nuclearTesting",1,0,0,0,0,0,0,0,0,0
"parisAccord",1,0,0,0,0,0,0,0,0,0
"president",1,0,0,0,0,0,0,0,0,0
"publicSafety",1,0,0,0,0,0,0,0,0,0
"reform",1,0,0,0,0,0,0,0,0,0
"refugees",1,0,0,0,0,0,0,0,0,0
"regulation",1,0,0,0,0,0,0,0,0,0
"repealAndReplace",1,0,0,0,0,0,0,0,0,0
"republican",1,0,0,0,0,0,0,0,0,0
"republicanLawmakers",1,0,0,0,0,0,0,0,0,0
"republicanLeaders",1,0,0,0,0,0,0,0,0,0
"restriction",1,0,0,0,0,0,0,0,0,0
"russia",1,0,0,0,0,0,0,0,0,0
"russian",0,0,0,0,1,0,0,0,0,0
"Ryan",1,0,0,0,0,0,0,0,0,0
"sanction",0,0,0,0,0,1,0,0,0,0
"secretary",1,0,0,0,0,0,0,0,0,0
"senateRule",1,0,0,0,0,0,0,0,0,0
"SensitiveInformation",1,0,0,0,0,0,0,0,0,0
"smallBusinessConfidence",1,0,0,0,0,0,0,0,0,0
"smallBusinessConfidenceIndex",1,0,0,0,0,0,0,0,0,0
"supremeCourt",1,0,0,0,0,0,0,0,0,0
"tariff",1,0,0,0,0,0,0,0,0,0
"taxBreak",1,0,0,0,0,0,0,0,0,0
"terrorist",1,0,0,0,0,0,0,0,0,0
"tradeDeficit",1,0,0,0,0,0,0,0,0,0
"tradingPartners",1,0,0,0,0,0,0,0,0,0
"transPacificPartnership",1,0,0,0,0,0,0,0,0,0
"travelBan",1,0,0,0,0,0,0,0,0,0
"tweet",1,0,0,0,0,0,0,0,0,0
"twitter",1,0,0,0,0,0,0,0,0,0
"unitedStates",1,0,0,0,0,0,0,0,0,0
"vladimirPutin",1,0,0,0,0,0,0,0,0,0
"VPN",1,0,0,0,0,0,0,0,0,0
"wall",1,0,0,0,0,0,0,0,0,0
"war",1,0,0,0,0,0,0,0,0,0
"washington",1,0,0,0,0,0,0,0,0,0
"whiteHouse",0,0,0,0,0,1,0,0,0,0
